M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: before BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:20)
STATS:: |   before VsiLib_Restore : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:20)
STATS:: |   after  VsiLib_Restore : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:20)
STATS:: |   before BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:20)
STATS:: |   after  BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:20)
STATS:: |   before BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:20)
STATS:: |   |   before BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:20)
STATS:: |   |   after  BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:20)
STATS:: |   |   before PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:20)
STATS:: |   |   after  PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:20)
STATS:: |   after  BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:20)
STATS:: after  BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:20)
STATS:: before CompileProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:20)
STATS:: after  CompileProperty : M=1507.17mb, Malloc-M=464mb, T=3s W=(2023-10-26 13:38:23)
STATS:: before BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:23)
STATS:: |   before VsiLib_Restore : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:23)
STATS:: |   after  VsiLib_Restore : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:23)
STATS:: |   before BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:23)
STATS:: |   after  BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:23)
STATS:: |   before BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:23)
STATS:: |   |   before BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:23)
STATS:: |   |   after  BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:23)
STATS:: |   |   before PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:23)
STATS:: |   |   after  PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:23)
STATS:: |   after  BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:23)
STATS:: after  BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:23)
STATS:: before CompileProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:23)
STATS:: after  CompileProperty : M=1507.17mb, Malloc-M=464mb, T=2s W=(2023-10-26 13:38:25)
STATS:: before BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:25)
STATS:: |   before VsiLib_Restore : M=1507.17mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:25)
STATS:: |   after  VsiLib_Restore : M=1507.17mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:25)
STATS:: |   before BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:25)
STATS:: |   after  BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:25)
STATS:: |   before BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:25)
STATS:: |   |   before BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:25)
